param_n_components,param_tol,mean_test_bic,mean_test_aic,mean_test_sillhoute
2,0.001,5.602788358373207,5.601840821728561,0.1402364174524943
2,0.01,5.602947405176637,5.602000215852803,0.13844512403011322
2,0.1,5.602978149019899,5.602031026818687,0.13866718610127768
3,0.001,5.6003473322879405,5.598913577208805,0.1292667438586553
3,0.01,5.6003996474502085,5.59896606535632,0.13173368076483408
3,0.1,5.600500397839221,5.599067148827541,0.135123481353124
4,0.001,5.60014158224869,5.598225512809908,0.09780693799257278
4,0.01,5.600325551013238,5.598410294848709,0.10784591734409332
4,0.1,5.600668805741961,5.598755066085385,0.11845504989226659
5,0.001,5.599912021063174,5.597512511558946,0.08963986734549205
5,0.01,5.600284665311503,5.597887219502466,0.10544520864884059
5,0.1,5.600492912051258,5.5980966187325185,0.11214203387498856
6,0.001,5.599802172734614,5.596918970394795,0.08289811511834462
6,0.01,5.600385145659358,5.597505823824116,0.10161315153042476
6,0.1,5.600607593861523,5.59772975135026,0.10947020103534062
7,0.001,5.599870916465591,5.596504626971424,0.08034117768208186
7,0.01,5.600697009816626,5.597337142233967,0.10316512982050578
7,0.1,5.600873974832229,5.5975154813457095,0.1096474106113116
8,0.001,5.600182184077242,5.596334581496717,0.08546218772729237
8,0.01,5.600550517309251,5.596706191048098,0.1040437122186025
8,0.1,5.600737656874337,5.596894994143523,0.10958266258239746
9,0.001,5.600576589180998,5.596248664794832,0.08164973556995392
9,0.01,5.600826019275624,5.5965005922658735,0.09499618162711461
9,0.1,5.601058020117268,5.596734914676482,0.10227267692486446
10,0.001,5.600791761029176,5.595981864014993,0.07841334491968155
10,0.01,5.60117114284235,5.596365469044743,0.093044213950634
10,0.1,5.601401421407055,5.596598309214248,0.0995357980330785
11,0.001,5.6011984731935,5.595908895100366,0.0755876253048579
11,0.01,5.601522360164429,5.596236749542252,0.0886647676428159
11,0.1,5.601776734060888,5.596494237306332,0.09577540804942448
12,0.001,5.601549725128696,5.595780097647891,0.06996807952721913
12,0.01,5.6019121258471225,5.596147342954993,0.08411179234584172
12,0.1,5.602216220659068,5.596455499759894,0.09156231085459392
13,0.001,5.601911506449492,5.595662231955075,0.06930874784787495
13,0.01,5.602317083007438,5.596073683958609,0.08157128343979518
13,0.1,5.602685347694211,5.596447278747303,0.0902405430873235
14,0.001,5.602491402082995,5.595766159157014,0.06330450500051181
14,0.01,5.602737357483171,5.596015951824887,0.07592445363601048
14,0.1,5.603108177690775,5.596392553205126,0.08703172455231349
15,0.001,5.602933827646293,5.595731079056421,0.06309702123204868
15,0.01,5.603109809979268,5.595910003777174,0.07621631522973378
15,0.1,5.603446035243099,5.596251847287685,0.08679947753747304
16,0.001,5.603312404498665,5.5956314665052584,0.06076740846037865
16,0.01,5.60349093461423,5.595813181527483,0.07390676935513814
16,0.1,5.603884632786795,5.596213898411968,0.08589475353558858
17,0.001,5.603978371165814,5.595825005094385,0.059585424760977425
17,0.01,5.604096883064367,5.595945762618118,0.07340932637453079
17,0.1,5.604393347767778,5.596247842155218,0.08438841998577118
18,0.001,5.604535717660593,5.5959086984385795,0.05537680039803187
18,0.01,5.604625237834658,5.59600001447218,0.070291668176651
18,0.1,5.604945261067064,5.596326454587067,0.08133199314276378
19,0.001,5.6050896915870885,5.595989661149341,0.055578852693239846
19,0.01,5.605228448329982,5.596131355540163,0.07098101824522018
19,0.1,5.605481803275347,5.596390071843842,0.08165427297353745
20,0.001,5.605558253345389,5.595984014391533,0.05398847162723541
20,0.01,5.605757309293284,5.59618750631639,0.06912103046973546
20,0.1,5.606009923384523,5.596445746940126,0.07871732612450917
21,0.001,5.606141642937497,5.5960963994909765,0.0505270188053449
21,0.01,5.6062864103260255,5.5962445538009415,0.06496634831031163
21,0.1,5.606607523575892,5.596573175568846,0.07819265127182007
22,0.001,5.60672455811257,5.596209071270313,0.05070584764083227
22,0.01,5.606887621031319,5.596376129817634,0.065244826177756
22,0.1,5.6072292391706515,5.596726113850025,0.07753759374221166
23,0.001,5.607337505766719,5.5963533169642865,0.04703515519698461
23,0.01,5.607461276036734,5.596480257095293,0.06489598999420802
23,0.1,5.607735308871579,5.596761304846452,0.07734797149896622
24,0.001,5.607972561143436,5.596521100147739,0.04582431291540464
24,0.01,5.608022186057493,5.596572050895916,0.06313398480415344
24,0.1,5.608309675615238,5.596867218282865,0.07570971548557281
25,0.001,5.6085791346977825,5.596660497334053,0.0450163260102272
25,0.01,5.608594254798445,5.5966760381246825,0.061385526011387505
25,0.1,5.608858260805802,5.59694738720499,0.07466978331406911
